Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,U.s. political affiliation,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
667c956f0610abf6b3fba907,6660b995604968ce1d8ab1c9,AWAITING REVIEW,Not Applicable,2024-06-26T22:26:01.050000Z,2024-06-26T22:50:28.433000Z,,2024-06-26T22:50:29.154584Z,1468.0,C1DPSPJ5,63,English,Republican,57,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED
667c95767f4dd1653d170bf2,662951a0350c443b60a836eb,APPROVED,Not Applicable,2024-06-26T22:27:05.252000Z,2024-06-26T22:45:26.967000Z,2024-06-28T12:22:44.673000Z,2024-06-26T22:47:41.259720Z,1102.0,C1DPSPJ5,71,English,Independent,55,Female,White,United States,United States,United States,English,No,Full-Time
667c95842488920674194976,6608d100a54f3802903f7fe1,APPROVED,Not Applicable,2024-06-26T22:26:18.356000Z,2024-06-26T22:37:21.211000Z,2024-06-28T12:26:11.455000Z,2024-06-26T22:38:07.740112Z,663.0,C1DPSPJ5,251,English,Independent,23,Male,White,United States,United States,United States,English,No,Part-Time
667c95881d64bb3fa2890452,6440ff579347d8f75783b52d,AWAITING REVIEW,Not Applicable,2024-06-26T22:26:26.557000Z,2024-06-26T22:37:25.192000Z,,2024-06-26T22:38:08.642883Z,659.0,C1DPSPJ5,996,English,Independent,31,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
667c958aeef38ca853d0401d,5f9b05167e97592c4251373b,AWAITING REVIEW,Not Applicable,2024-06-26T22:26:26.948000Z,2024-06-26T22:32:13.016000Z,,2024-06-26T22:34:10.125768Z,347.0,C1DPSPJ5,1113,English,Independent,26,Female,White,United States,United States,United States,English,Yes,Other
667c958af4d0d77719af2f79,60dde3c32d443979e545ce9d,APPROVED,Not Applicable,2024-06-26T22:29:29.192000Z,2024-06-26T22:48:47.712000Z,2024-06-28T12:23:37.287000Z,2024-06-26T22:48:48.900843Z,1159.0,C1DPSPJ5,513,English,Democrat,65,Female,White,United States,United States,United States,English,No,Part-Time
667c958bb743b050bcf6bc3c,6643b34e28d7180271083ce5,AWAITING REVIEW,Not Applicable,2024-06-26T22:27:51.704000Z,2024-06-26T22:51:26.577000Z,,2024-06-26T22:53:52.083579Z,1415.0,C1DPSPJ5,39,English,Independent,31,Female,Other,United States,United States,United States,English,No,Unemployed (and job seeking)
667c958f15376d4c319e060f,663d0826decc8dc71e4f6ea7,AWAITING REVIEW,Not Applicable,2024-06-26T22:26:38.167000Z,2024-06-26T22:38:38.558000Z,,2024-06-26T22:38:39.126561Z,721.0,C1DPSPJ5,48,English,Independent,55,Male,White,United States,United States,United States,English,No,Part-Time
667c9598216b53d88e7aaf1b,62e0694f2df985fd601c85de,AWAITING REVIEW,Not Applicable,2024-06-26T22:26:46.986000Z,2024-06-26T22:33:01.625000Z,,2024-06-26T22:34:20.271840Z,375.0,C1DPSPJ5,626,English,Independent,30,Female,White,United States,United States,United States,English,No,Full-Time
667c959c128285e31f892805,5b6142d1f5bc590001184814,AWAITING REVIEW,Not Applicable,2024-06-26T22:27:01.574000Z,2024-06-26T22:37:55.556000Z,,2024-06-26T22:38:17.441891Z,654.0,C1DPSPJ5,4503,English,Republican,49,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c95a3eef38ca853d04025,6541eb927e806c03e39cd36f,AWAITING REVIEW,Not Applicable,2024-06-26T22:30:19.795000Z,2024-06-26T23:09:28.322000Z,,2024-06-26T23:09:28.944099Z,2349.0,C1DPSPJ5,534,English,Democrat,40,Female,Other,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
667c95b25038aab96014b658,66506102c88d9e801985e8b5,AWAITING REVIEW,Not Applicable,2024-06-26T22:27:04.735000Z,2024-06-26T22:32:46.219000Z,,2024-06-26T22:34:16.639895Z,342.0,C1DPSPJ5,38,English,Republican,27,Male,White,United States,United States,United States,English,No,Part-Time
667c95bd7cd39d81d07f67d8,661df04d60a4f836353861cf,APPROVED,Not Applicable,2024-06-26T22:28:25.791000Z,2024-06-26T22:39:22.137000Z,2024-06-28T12:26:11.752000Z,2024-06-26T22:39:22.841347Z,657.0,C1DPSPJ5,410,English,Independent,22,Male,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
667c95c090aef405be2993e4,55887a69fdf99b5a49c22778,AWAITING REVIEW,Not Applicable,2024-06-26T22:27:19.126000Z,2024-06-26T22:30:46.482000Z,,2024-06-26T22:30:47.825803Z,208.0,C1DPSPJ5,1642,English,Independent,29,Male,Asian,United States,United States,United States,English,No,Full-Time
